,year,prize
0,1901,
1,1902,
2,1903,
3,1904,
4,1905,6.2
5,1906,6.2
6,1907,6.0
7,1908,6.0
8,1909,6.2
9,1910,6.2
10,1911,6.2
11,1912,6.2
12,1913,5.8
13,1914,5.0
14,1915,4.8
15,1916,3.8
16,1917,3.4
17,1918,2.8
18,1919,3.0
19,1920,3.2
20,1921,4.0
21,1922,4.4
22,1923,5.0
23,1924,4.8
24,1925,5.0
25,1926,5.2
26,1927,5.4
27,1928,5.2
28,1929,6.0
29,1930,5.8
30,1931,5.8
31,1932,5.4
32,1933,5.6
33,1934,5.4
34,1935,5.4
35,1936,5.6
36,1937,6.0
37,1938,6.0
38,1939,5.8
39,1943,5.6
40,1944,5.4
41,1945,5.4
42,1946,6.0
43,1947,6.6
44,1948,6.6
45,1949,6.6
46,1950,6.8
47,1951,6.6
48,1952,6.4
49,1953,6.8
50,1954,7.2
51,1955,6.6
52,1956,7.0
53,1957,6.8
54,1958,7.4
55,1959,7.2
56,1960,7.4
57,1961,6.8
58,1962,7.2
59,1963,7.6
60,1964,7.8
61,1965,8.4
62,1966,8.4
63,1967,8.4
64,1968,7.6
65,1969,8.0
66,1970,8.0
67,1971,8.0
68,1972,8.6
69,1973,9.6
70,1974,10.0
71,1975,10.6
72,1976,11.2
73,1977,11.2
74,1978,11.0
75,1979,10.8
76,1980,10.6
77,1981,11.0
78,1982,10.6
79,1983,9.8
80,1984,9.4
81,1985,8.8
82,1986,8.8
83,1987,8.8
84,1988,9.8
85,1989,10.0
86,1990,10.6
87,1991,9.8
88,1992,9.4
89,1993,9.2
90,1994,9.6
91,1995,9.8
92,1996,11.0
93,1997,12.0
94,1998,12.2
95,1999,11.2
96,2000,11.4
97,2001,11.8
98,2002,12.0
99,2003,11.8
100,2004,12.8
101,2005,12.8
102,2006,11.6
103,2007,11.4
104,2008,11.6
105,2009,11.8
106,2010,11.4
107,2011,12.2
108,2012,11.8
109,2013,12.0
110,2014,12.0
111,2015,12.0
112,2016,11.6
113,2017,12.0
114,2018,12.0
115,2019,12.2
116,2020,12.4
